name,paramtype,uom,issetbyuser,group,description
FluidType,Fluid Type,,True,,Column fluid type
ModeCheck,Enumeration,,False,Advanced Configuration,Global check for mode change warnings while still in process mode
NStages,Integer,,True,Configuration,Column number of ideal stages excluding internal condenser and reboiler
FeedStage[S1],Integer,,False,Configuration,Column feed stage locations
SideDraws,Enumeration,,False,Configuration,Column side draw phase options.\n     Liquid: enable liquid phase side draws. \n     Vapor: enable vapor phase side draws.\n     Both: enable vapor and liquid phase side draws.
ReferenceStreams,Enumeration,,True,Advanced Configuration,"Column reference streams show options.\n     Typical: Show condenser inlet, reboiler inlet, reflux, and reboiler boilup reference stream ports.\n     Stages: Show stage net outgoing liquid or vapor reference stream ports.\n     All: Show all reference stream ports."
Condenser,Enumeration,,True,Configuration,"Column condenser options.\n     None: use for absorbers. \n     Internal: use for condensed columns in conceptual work.\n          For a total condenser specify VFcond=0.\n          For a partial condenser set VFcond>0.\n          For a partial condenser at total reflux unspecify VFcond, specify Ldist=0 instead.\n     External: use for detailed engineering when the condenser is modeled externally."
Reboiler,Enumeration,,True,Configuration,"Column reboiler options.\n     None: Absorbers\n     Internal: Reboiled columns for conceptual engineering projects.\n     External: Separate flowsheet model for detailed engineering projects.\nSee Sump description for modeling kettle, or thermosyphon reboiler with baffle."
Sump,Enumeration,,False,Configuration,Column sump options.\n     None: No sump\n     Initialize: Sump with an equation tear for easier solution of sump equations.\n     Single: Sump full solution without a tear to make reboiler spec swaps.\n\n     Internal kettle reboiler (PRO/II w/o baffle): Sump = None\n     Internal thermosyphon reboiler (PRO/II w baffle): Sump = Single\n     Any external reboiler: Sump = Single
Setup,Enumeration,,False,Configuration,"Column Setup options.\n     Configure: initialize the column while configuring. \n     Solve: invoke the rigorous solution.\n\nBefore setting Setup to Solve:\n     Set Sump = Initialize\n     Set Efficiency = Contact, because the Contact mechanism involves homotopy-formulations that favor column convergence."
Capacity,Enumeration,,False,Stage Sizing,"Column Capacity option. \n     Internals: apply the capacity correlations specific to the selected internal, thus correlating \n           the column's diameter Dcol to each stage's flooding factor FF, and the resulting \n           maximum flooding factor FFcol. \n     Ignore: ignore capacity correlations.\nOpen the Internals group to inspect further details for the hydraulic capacity calculations."
HydraulicsVapor,Enumeration,,False,Stage Sizing,Column hydraulic basis option for the thermophysical vapor phase properties. \n     Vapor from Stage: the properties of the vapor leaving the stage are used for the hydraulic calculations.\n     Vapor to Stage: the properties of the vapor entering the stage from below are used for the hydraulic calculations. Vapor contributions of external feeds are combined with the vapor from below and the properties are reevaluated.\nOpen the Properties group to inspect the stagewise thermophysical properties.
HydraulicsLiquid,Enumeration,,False,Stage Sizing,Column hydraulic basis option for the thermophysical liquid phase properties. \n     Liquid from Stage: the properties of the liquid leaving the stage are used for the hydraulic calculations.\n     Liquid to Stage: the properties of the liquid entering the stage from above are used for the hydraulic calculations. Liquid contributions of external feeds are combined with the liquid from above and the properties are reevaluated.\nOpen the Properties group to inspect the stagewise thermophysical properties.
StageProperties,Enumeration,,False,Stage Thermophysical Profiles,Column stage properties option. \n     Required only: only the properties required for the selected hydraulic options are reported.\n     All: the properties of vapor and liquid to-stage and from-stage are reported.
PressureDrop,Enumeration,,False,Pressures,"Column pressure drop option.\n     Constant: assign the specified DPStage to each stage.\n     Profile: define a custom pressure drop profile using DPstep or by defining the DP for each stage.\n     Internals: apply the pressure drop correlations based on the Internals model selected in the Sizing Group, thus deriving \n          each stage's pressure drop DP, and the resulting mean average value DPStage.\nOpen the Internals group to inspect further details for the hydraulic calculations."
InletPressures,Enumeration,,False,Pressures,"Column inlet pressure option.\n     Ignore: allow any feed inlet pressure.\n     Balanced: automatically set the feed inlet pressures equal to their respective feed stage pressures. Therefore, exactly \n     one pressure specification on the feed line must be freed up, typically a valve's, a pipe's or an exchanger's DP specification.\n'Balanced' is required for Fluid Flow and Dynamic modes."
Basis,Enumeration,,False,Reactions ,"Column reactive distillation basis corresponding to the selected conversion, equilibrium, or kinetic reaction submodel. \n     CatalystMass: use for kinetic reactions related to catalyst mass. \n     Volume: use for kinetic reactions related to catalyst volume.\n     Conversion: use for conversion reactions.\n     Equilibrium: use for equilibrium reactions, or when ColRxnSet is applied."
Balances,Enumeration,,False,Balance Report,Column balance reporting option
Scheme,Enumeration,,False,Dynamics and Controls,"Column control schemes that enable column control by means of three options.\nSee the model type help documentation, chapters 13 and 14, for more information. \n\nControl Ports: adds the following Control Ports that serve for PID inputs: \n 1. Port Cond_Level, port Reb_Level, \n 2. Port Top_Pressure, \n 3. Multi port Stage_Temperature and Control ports that serve for PID outputs, \n 4. Port CondHeat_Control, \n 5. Port RebHeat_Control, and \n 6. port Reflux_Control. \nThese control ports allow a fully flexible control scheme configuration in combination\nwith the PID controller from the Controls library. \n\nTotal Condenser: addressing total condensing operations,\nadds internal product valves for the overhead vapor, the distillate and the bottoms\nproducts as well as for the reflux, the condenser duty and the reboiler duty, combined\nwith these internal PID controllers: \n 1. TC1 controlling Stage[1].T by manipulating the reflux valve, \n 2. PC1 controlling Cond.P by manipulating the cooling duty valve, \n 3. LC1 controlling Cond.Level by manipulating the distillate valve, \n 4. TC2 controlling Stage[N].T by manipulating the heating duty valve, \n 5. LC2 controlling Reboiler.Level by manipulating the bottoms valve. \n\nTotal Reflux: addressing total reflux/partial condensing operations,\nadds internal product valves for the overhead vapor and the bottoms products, as well as for\nthe reflux, the condenser duty and the reboiler duty, combined with these internal PID controllers: \n 1. TC1 controlling Stage[1].T by manipulating the condenser cooling duty valve CondHeat_Control, \n 2. PC1 controlling Cond.P by manipulating the vapor product valve, \n 3. LC1 controlling Cond.Level by manipulating the reflux valve, \n 4. TC2 controlling Stage[N].T by manipulating the heating duty valve RebHeat_Control, \n 5. LC2 controlling Reboiler.Level by manipulating the bottoms valve. "
Reactions,Enumeration,,False,Advanced Configuration,"Column reactions option\nThis option relates to reactions that are specified in the Fluid, e.g. electrolytic reactions in the fluids Fluids.HCl_BE or Fluids.HCl_eNRTL.\nReactions specified in the 'Stage Reactions' group remain unaffected by this selection. "
StaticHead,Enumeration,,True,Pressures,"Global static head option. \n     Include: include the static head contribution to the liquid product pressures of condenser, reboiler and sump.\n     Ignore: ignore the static head contribution.\n The StaticHead option relates to Process mode only."
CompBasis,Enumeration,,False,Profiles,"Column basis for stage compositions and internal rate profiles.\n     Molar: molar based profile variables.\n     Mass: mass based profile variables. \n     Volumetric: actual volumetric based profile variables.\n     MolarMass: molar and mass based profile variables. \n     All: molar, mass, and actual volumetric based profile variables.\nWhen changing CompBasis, and non-default specifications are set on molar or mass based variables, e.g. V, it is best \nto use MolarMass or All to ensure all specifications remain listed."
